algorithm,input_type,n,time_ns,recursion_depth,operations
MergeSort,RANDOM,100,58600,0,658
QuickSort,RANDOM,100,103300,4,722
DeterministicSelect,RANDOM,100,88300,6,732
ClosestPair,RANDOM,100,1061700,7,654
MergeSort,RANDOM,500,381200,0,4706
QuickSort,RANDOM,500,471100,5,5581
DeterministicSelect,RANDOM,500,395900,8,3820
ClosestPair,RANDOM,500,7772500,9,4520
MergeSort,RANDOM,1000,1174500,0,10383
QuickSort,RANDOM,1000,485500,6,11841
DeterministicSelect,RANDOM,1000,513500,9,7881
ClosestPair,RANDOM,1000,8169900,10,10050
MergeSort,RANDOM,5000,1169200,0,58724
QuickSort,RANDOM,5000,1451200,7,67359
DeterministicSelect,RANDOM,5000,1437400,10,42431
ClosestPair,RANDOM,5000,37391700,12,61443
MergeSort,RANDOM,10000,2696800,0,127034
QuickSort,RANDOM,10000,1157600,8,156583
DeterministicSelect,RANDOM,10000,4246200,14,85885
ClosestPair,RANDOM,10000,123673400,13,133026
MergeSort,RANDOM,20000,6794200,0,274017
QuickSort,RANDOM,20000,1989000,9,345013
DeterministicSelect,RANDOM,20000,1489900,13,169976
ClosestPair,RANDOM,20000,183107000,14,286113
MergeSort,SORTED,100,106800,0,92
QuickSort,SORTED,100,28100,4,613
DeterministicSelect,SORTED,100,42200,5,559
ClosestPair,SORTED,100,236300,7,636
MergeSort,SORTED,500,25000,0,468
QuickSort,SORTED,500,34400,6,4601
DeterministicSelect,SORTED,500,20500,7,3064
ClosestPair,SORTED,500,798300,9,4534
MergeSort,SORTED,1000,30500,0,936
QuickSort,SORTED,1000,46700,6,11361
DeterministicSelect,SORTED,1000,48700,10,6281
ClosestPair,SORTED,1000,1861600,10,10023
MergeSort,SORTED,5000,33800,0,4488
QuickSort,SORTED,5000,239600,8,70611
DeterministicSelect,SORTED,5000,129900,11,31939
ClosestPair,SORTED,5000,19090400,12,61441
MergeSort,SORTED,10000,45600,0,8976
QuickSort,SORTED,10000,464800,9,153313
DeterministicSelect,SORTED,10000,240600,13,60756
ClosestPair,SORTED,10000,56057400,13,132834
MergeSort,SORTED,20000,166400,0,17952
QuickSort,SORTED,20000,947600,9,340138
DeterministicSelect,SORTED,20000,486900,14,128712
ClosestPair,SORTED,20000,197670300,14,286079
MergeSort,REVERSE,100,60500,0,724
QuickSort,REVERSE,100,8100,4,631
DeterministicSelect,REVERSE,100,31400,7,790
ClosestPair,REVERSE,100,255200,7,640
MergeSort,REVERSE,500,20200,0,4900
QuickSort,REVERSE,500,36600,5,5534
DeterministicSelect,REVERSE,500,30900,9,4263
ClosestPair,REVERSE,500,1178600,9,4546
MergeSort,REVERSE,1000,47400,0,10300
QuickSort,REVERSE,1000,81800,6,10918
DeterministicSelect,REVERSE,1000,89600,10,8493
ClosestPair,REVERSE,1000,2582500,10,10064
MergeSort,REVERSE,5000,254900,0,44324
QuickSort,REVERSE,5000,425700,7,69488
DeterministicSelect,REVERSE,5000,250200,12,44411
ClosestPair,REVERSE,5000,24106200,12,61506
MergeSort,REVERSE,10000,479000,0,93648
QuickSort,REVERSE,10000,839500,8,151385
DeterministicSelect,REVERSE,10000,484400,13,89919
ClosestPair,REVERSE,10000,67579300,13,132992
MergeSort,REVERSE,20000,801200,0,197296
QuickSort,REVERSE,20000,1300500,9,343538
DeterministicSelect,REVERSE,20000,823700,13,181619
ClosestPair,REVERSE,20000,199387400,14,286097
MergeSort,DUPLICATE_HEAVY,100,102400,0,598
QuickSort,DUPLICATE_HEAVY,100,8900,4,857
DeterministicSelect,DUPLICATE_HEAVY,100,10000,6,661
ClosestPair,DUPLICATE_HEAVY,100,885500,7,616
MergeSort,DUPLICATE_HEAVY,500,62000,0,4489
QuickSort,DUPLICATE_HEAVY,500,43200,3,14789
DeterministicSelect,DUPLICATE_HEAVY,500,74200,49,9666
ClosestPair,DUPLICATE_HEAVY,500,2507800,9,4257
MergeSort,DUPLICATE_HEAVY,1000,245500,0,9976
QuickSort,DUPLICATE_HEAVY,1000,117500,3,53404
DeterministicSelect,DUPLICATE_HEAVY,1000,74400,23,14813
ClosestPair,DUPLICATE_HEAVY,1000,3513200,10,9488
MergeSort,DUPLICATE_HEAVY,5000,780800,0,55932
QuickSort,DUPLICATE_HEAVY,5000,1713400,3,1267695
DeterministicSelect,DUPLICATE_HEAVY,5000,3559300,95,1031384
ClosestPair,DUPLICATE_HEAVY,5000,33011100,12,58856
MergeSort,DUPLICATE_HEAVY,10000,980300,0,121658
QuickSort,DUPLICATE_HEAVY,10000,5047600,3,5043698
DeterministicSelect,DUPLICATE_HEAVY,10000,21854700,207,5248831
ClosestPair,DUPLICATE_HEAVY,10000,54538000,13,127712
MergeSort,DUPLICATE_HEAVY,20000,1328500,0,261985
QuickSort,DUPLICATE_HEAVY,20000,20162300,3,20083995
DeterministicSelect,DUPLICATE_HEAVY,20000,160987200,408,53007112
ClosestPair,DUPLICATE_HEAVY,20000,126963900,14,275424
